date;valeur
1990-01;228.97
1990-02;223.25
1990-03;234.27
1990-04;226.78
1990-05;240.5
1990-06;234.98
1990-07;233.62
1990-08;212.56
1990-09;224.54
1990-10;228.51
1990-11;228.48
1990-12;227.88
1991-01;231.27
1991-02;227.65
1991-03;198.53
1991-04;221.19
1991-05;220.89
1991-06;221.26
1991-07;219.98
1991-08;210.8
1991-09;208.86
1991-10;213.5
1991-11;226.44
1991-12;208.94
1992-01;210.33
1992-02;212.67
1992-03;207.25
1992-04;216.51
1992-05;206.19
1992-06;184.48
1992-07;180.44
1992-08;186.51
1992-09;180.52
1992-10;175.59
1992-11;178.93
1992-12;172.44
1993-01;163.9
1993-02;175.02
1993-03;168.1
1993-04;169.5
1993-05;169.46
1993-06;175.45
1993-07;189.95
1993-08;180.58
1993-09;187.31
1993-10;185.89
1993-11;187.07
1993-12;191.18
1994-01;191.11
1994-02;186.32
1994-03;190.03
1994-04;186.7
1994-05;195.1
1994-06;187.47
1994-07;181.94
1994-08;185.55
1994-09;195.49
1994-10;193.57
1994-11;209.56
1994-12;186.05
1995-01;201.6
1995-02;196.57
1995-03;201.69
1995-04;198.63
1995-05;197.44
1995-06;189.01
1995-07;184.91
1995-08;193.26
1995-09;188.77
1995-10;184.44
1995-11;185.38
1995-12;187.45
1996-01;182.15
1996-02;183.11
1996-03;178.38
1996-04;185.22
1996-05;184.26
1996-06;180.27
1996-07;198.51
1996-08;189.89
1996-09;180.78
1996-10;190.54
1996-11;185.32
1996-12;190.11
1997-01;187.87
1997-02;196.2
1997-03;191.51
1997-04;197.87
1997-05;195.46
1997-06;213.94
1997-07;204.38
1997-08;194.59
1997-09;201.61
1997-10;201.52
1997-11;193.17
1997-12;194.16
1998-01;200.68
1998-02;194.68
1998-03;200.57
1998-04;194.93
1998-05;195.81
1998-06;196.41
1998-07;199.37
1998-08;193.45
1998-09;202.4
1998-10;207.53
1998-11;195.02
1998-12;185.12
1999-01;196.47
1999-02;191.85
1999-03;195.99
1999-04;191.53
1999-05;195.87
1999-06;197.13
1999-07;184.79
1999-08;191.03
1999-09;184.35
1999-10;184.11
1999-11;191.32
1999-12;189.82
2000-01;199.37
2000-02;205.41
2000-03;208.19
2000-04;209.32
2000-05;209.41
2000-06;201.66
2000-07;212.72
2000-08;211.6
2000-09;216.33
2000-10;214.46
2000-11;219.06
2000-12;212.51
2001-01;200.6
2001-02;206.45
2001-03;220.13
2001-04;198.29
2001-05;207.82
2001-06;212.11
2001-07;204.34
2001-08;203.99
2001-09;200.62
2001-10;206.15
2001-11;202.87
2001-12;202.56
2002-01;196.57
2002-02;198.24
2002-03;201.28
2002-04;198.88
2002-05;197.28
2002-06;194.27
2002-07;199.35
2002-08;200.77
2002-09;197.22
2002-10;198.56
2002-11;202.7
2002-12;193.8
2003-01;193.11
2003-02;198.31
2003-03;191.5
2003-04;196.53
2003-05;199.04
2003-06;196.44
2003-07;199.22
2003-08;202.67
2003-09;189.07
2003-10;191.9
